"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"BON_NR";"BON_TYP";"BON_NAME";"TERMINAL_ID";"BON_STORNO";"BON_START";"BON_ENDE";"BEDIENER_ID";"BEDIENER_NAME";"UMS_BRUTTO";"KUNDE_NAME";"KUNDE_ID";"KUNDE_TYP";"KUNDE_STRASSE";"KUNDE_PLZ";"KUNDE_ORT";"KUNDE_LAND";"KUNDE_USTID";"BON_NOTIZ"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"61b0ac6a-2421-4f93-b47b-694a31c7e931";"1";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T10:01:54Z";"2025-06-13T10:03:32Z";"106123";"Vendeur";"23.20";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"1c4f2876-913a-432c-9ea0-81d609edaead";"2";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T10:00:50Z";"2025-06-13T10:05:34Z";"106123";"Vendeur";"27.40";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"b8f28d04-81f8-45bd-abed-3445e06388b8";"3";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T10:15:34Z";"2025-06-13T10:15:47Z";"106123";"Vendeur";"15.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"30f8cf56-786d-46c8-8099-56c9275f7cd0";"4";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T10:17:34Z";"2025-06-13T10:17:48Z";"106123";"Vendeur";"19.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"a624d721-d898-4a51-a46b-c7e2e0059c53";"5";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T10:22:20Z";"2025-06-13T10:22:59Z";"106123";"Vendeur";"7.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"ab82bf08-0ee7-445a-8923-5e5ec45004d2";"6";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T10:48:54Z";"2025-06-13T10:49:00Z";"106123";"Vendeur";"11.00";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"23c74578-2083-4c3e-b311-a1e5a0fffd0e";"7";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T11:02:07Z";"2025-06-13T11:04:05Z";"106123";"Vendeur";"18.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"65ba3e3a-6965-4d23-9ec1-a14a7054ce72";"8";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T11:10:05Z";"2025-06-13T11:11:03Z";"106123";"Vendeur";"16.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"765ecb0b-f039-4a36-a0fc-0a34c0064b62";"9";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T11:14:20Z";"2025-06-13T11:27:44Z";"106123";"Vendeur";"19.00";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"6dce0358-6211-4064-be54-1f55fbc6b075";"10";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T12:47:20Z";"2025-06-13T12:47:48Z";"106123";"Vendeur";"10.00";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"7342c7c2-7487-4e12-a826-78a842c53df2";"11";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T13:27:51Z";"2025-06-13T13:29:38Z";"106123";"Vendeur";"22.70";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"f55d79bd-6ad9-4e3f-aa23-d5f58eb299d7";"12";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T15:11:53Z";"2025-06-13T15:13:00Z";"106123";"Vendeur";"35.00";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"d1f0722c-09e8-4827-b626-d0f3bf2fdbc3";"13";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T15:33:34Z";"2025-06-13T15:35:16Z";"106123";"Vendeur";"19.00";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"eae1db88-78a4-4af7-905d-98bdff4e0d87";"14";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T15:47:18Z";"2025-06-13T15:50:05Z";"106123";"Vendeur";"52.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"eca88782-1ae4-4676-89c4-315106ce3184";"15";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T17:21:19Z";"2025-06-13T17:22:24Z";"106123";"Vendeur";"13.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-13T18:16:41Z";"38";"257ea6d2-c1aa-4867-a86c-3592f595e06d";"16";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-13T17:34:54Z";"2025-06-13T17:34:58Z";"106123";"Vendeur";"11.00";"Walking customer";"1";"Kunde";;;;;;
