"Z_KASSE_ID";"Z_ERSTELLUNG";"Z_NR";"BON_ID";"BON_NR";"BON_TYP";"BON_NAME";"TERMINAL_ID";"BON_STORNO";"BON_START";"BON_ENDE";"BEDIENER_ID";"BEDIENER_NAME";"UMS_BRUTTO";"KUNDE_NAME";"KUNDE_ID";"KUNDE_TYP";"KUNDE_STRASSE";"KUNDE_PLZ";"KUNDE_ORT";"KUNDE_LAND";"KUNDE_USTID";"BON_NOTIZ"
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"9b7e09ac-f7e0-445c-9d89-53f97287a8b6";"1";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T10:01:57Z";"2025-06-26T10:03:02Z";"106123";"Vendeur";"20.80";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"822da3b5-68c1-4cb4-8eb0-f6e7c4aea4e2";"2";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T10:34:13Z";"2025-06-26T10:35:49Z";"106123";"Vendeur";"15.70";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"48e0fae7-55e3-4765-8069-f2fe1fa27c0d";"3";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T10:59:55Z";"2025-06-26T11:01:30Z";"106123";"Vendeur";"27.20";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"054fd11e-71c0-48b2-87ec-14a3516387f8";"4";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T11:18:19Z";"2025-06-26T11:19:50Z";"106123";"Vendeur";"11.00";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"ddec24f9-5ace-4103-9668-760379a12242";"5";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T11:20:13Z";"2025-06-26T11:20:48Z";"106123";"Vendeur";"13.70";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"a7d1df5f-2963-49ec-abbc-814722934327";"6";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T11:45:07Z";"2025-06-26T11:45:11Z";"106123";"Vendeur";"37.90";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"4c228d56-0389-4791-9e23-210e46c5ac1b";"7";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T12:05:29Z";"2025-06-26T12:06:29Z";"106123";"Vendeur";"26.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"22537630-575f-4566-9f7b-6b2c0744728b";"8";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T12:26:46Z";"2025-06-26T12:27:52Z";"106123";"Vendeur";"15.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"6027a88f-4d00-49f3-b530-ec829f1f7551";"9";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T12:37:46Z";"2025-06-26T12:37:53Z";"106123";"Vendeur";"11.00";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"4d2699c4-9023-4da5-97f9-ff0c3a4a8b67";"10";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T12:38:26Z";"2025-06-26T12:38:30Z";"106123";"Vendeur";"7.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"6417d334-8826-476b-b124-ddb7d754af6d";"11";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T15:05:46Z";"2025-06-26T15:06:35Z";"106123";"Vendeur";"30.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"24b1c1eb-ab30-4a4a-ac80-3e82d303c084";"12";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T15:15:49Z";"2025-06-26T15:18:06Z";"106123";"Vendeur";"45.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"eb9a63e7-1ba7-46c8-94e9-22840ee8713d";"13";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T15:35:58Z";"2025-06-26T15:37:31Z";"106123";"Vendeur";"43.00";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"717554b9-8b6f-4c9e-89ea-de35c286737c";"14";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T15:41:36Z";"2025-06-26T15:42:01Z";"106123";"Vendeur";"9.00";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"6f120050-6e92-441a-a374-83d471a161b0";"15";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T15:57:06Z";"2025-06-26T16:09:50Z";"106123";"Vendeur";"32.50";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"a12fe885-5258-4944-823b-d685168cc99b";"16";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T16:20:31Z";"2025-06-26T16:21:03Z";"106123";"Vendeur";"9.70";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"a032fe35-3169-43e0-8854-e5d4daf68077";"17";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T16:28:55Z";"2025-06-26T16:31:36Z";"106123";"Vendeur";"55.90";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"62b80d10-a7e0-40d4-8d83-307ad322e023";"18";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T16:29:06Z";"2025-06-26T16:33:27Z";"106123";"Vendeur";"28.00";"Walking customer";"1";"Kunde";;;;;;
"2b4b2631-1e69-4529-bfc0-879270663a14";"2025-06-26T19:33:15Z";"49";"1d001cd4-56b8-4175-8234-ec2d86303bb4";"19";"Beleg";;"2333b246-306c-5ae8-89ce-54f91bc4cb2e";"0";"2025-06-26T17:56:50Z";"2025-06-26T17:58:01Z";"106123";"Vendeur";"8.00";"Walking customer";"1";"Kunde";;;;;;
